state,district,scenario,overall_risk_change,flood_risk_change,drought_risk_change,ag_stress_change,water_availability_change,temperature_change_change,rainfall_change_change
MAHARASHTRA,AKOLA,ssp585,25.46,0.78,22.74,57.43,0.009,0.9,2.6
MAHARASHTRA,AMRAVATI,ssp245,0.29,0.74,0.1,0.0,0.009,0.5,2.62
MAHARASHTRA,AMRAVATI,ssp585,29.21,0.74,26.39,65.73,0.009,0.9,2.62
MAHARASHTRA,BEED,ssp245,-1.59,-0.11,-27.11,26.46,0.008,,2.55
MAHARASHTRA,BEED,ssp585,20.81,-0.11,-8.03,78.86,0.008,,2.55
MAHARASHTRA,BHANDARA,ssp245,0.22,0.76,-0.15,0.0,0.009,0.5,2.6
MAHARASHTRA,BHANDARA,ssp585,29.7,0.76,26.65,67.0,0.009,0.9,2.6
MAHARASHTRA,BULDHANA,ssp245,-0.44,-0.63,-0.64,0.0,0.008,0.5,2.56
MAHARASHTRA,BULDHANA,ssp585,32.99,-0.63,29.76,75.99,0.008,0.9,2.56
MAHARASHTRA,CHANDRAPUR,ssp245,-0.07,0.11,-0.31,0.0,0.009,0.5,2.6
MAHARASHTRA,CHANDRAPUR,ssp585,43.93,0.11,39.69,100.0,0.009,0.9,2.6
MAHARASHTRA,CHHATRAPATI SAMBHAJI NAGAR,ssp245,-0.43,-0.72,-0.52,0.0,0.008,0.5,2.54
MAHARASHTRA,CHHATRAPATI SAMBHAJI NAGAR,ssp585,33.61,-0.72,30.43,77.36,0.008,0.9,2.54
MAHARASHTRA,DHARASHIV,ssp245,-6.15,1.16,-40.17,25.02,0.009,0.5,2.6
MAHARASHTRA,DHARASHIV,ssp585,15.17,1.16,-20.78,73.48,0.009,0.9,2.6
MAHARASHTRA,DHULE,ssp245,2.29,-0.07,1.7,5.73,0.009,0.5,2.64
MAHARASHTRA,DHULE,ssp585,35.03,-0.07,31.46,80.14,0.009,0.9,2.64
MAHARASHTRA,GADCHIROLI,ssp245,-0.23,-0.3,-0.34,0.0,0.009,0.5,2.54
MAHARASHTRA,GADCHIROLI,ssp585,43.77,-0.3,39.66,100.0,0.009,0.9,2.54
MAHARASHTRA,GONDIA,ssp245,0.33,1.2,-0.25,0.0,0.009,0.5,2.58
MAHARASHTRA,GONDIA,ssp585,42.63,1.2,38.21,96.14,0.009,0.9,2.58
MAHARASHTRA,HINGOLI,ssp245,-16.65,0.84,-48.41,0.0,0.008,,2.58
MAHARASHTRA,HINGOLI,ssp585,-17.47,0.84,-50.75,0.0,0.008,,2.58
MAHARASHTRA,JALGAON,ssp245,-0.33,-0.11,-0.84,0.0,0.009,0.5,2.58
MAHARASHTRA,JALGAON,ssp585,32.72,-0.11,29.2,75.1,0.009,0.9,2.58
MAHARASHTRA,JALNA,ssp245,-0.53,-1.01,-0.52,0.0,0.008,0.5,2.52
MAHARASHTRA,JALNA,ssp585,28.27,-1.01,25.67,65.47,0.008,0.9,2.52
MAHARASHTRA,KOLHAPUR,ssp245,1.06,2.15,0.38,0.58,0.009,0.5,2.6
MAHARASHTRA,KOLHAPUR,ssp585,44.8,2.15,40.15,100.0,0.009,0.9,2.6
MAHARASHTRA,LATUR,ssp245,-17.0,1.31,-49.88,0.0,0.009,0.5,2.64
MAHARASHTRA,LATUR,ssp585,10.38,1.31,-24.99,62.23,0.009,0.9,2.64
MAHARASHTRA,MUMBAI,ssp245,0.2,0.56,0.0,0.0,0.009,,2.57
MAHARASHTRA,MUMBAI,ssp585,23.73,0.56,21.39,53.48,0.009,,2.57
MAHARASHTRA,MUMBAI SUBURBAN,ssp245,0.1,0.29,0.0,0.0,0.009,,2.58
MAHARASHTRA,MUMBAI SUBURBAN,ssp585,22.88,0.29,20.71,51.78,0.009,,2.58
MAHARASHTRA,NAGPUR,ssp245,0.26,0.87,-0.13,0.0,0.009,0.5,2.64
MAHARASHTRA,NAGPUR,ssp585,30.11,0.87,27.01,67.84,0.009,0.9,2.64
MAHARASHTRA,NANDED,ssp245,-17.31,1.08,-50.52,0.0,0.009,0.5,2.68
MAHARASHTRA,NANDED,ssp585,-7.07,1.08,-41.21,23.25,0.009,0.9,2.68
MAHARASHTRA,NANDURBAR,ssp245,0.22,0.76,-0.13,0.0,0.009,0.5,2.66
MAHARASHTRA,NANDURBAR,ssp585,36.19,0.76,32.57,81.75,0.009,0.9,2.66
MAHARASHTRA,NASHIK,ssp245,0.0,-0.22,0.22,0.0,0.009,0.5,2.63
MAHARASHTRA,NASHIK,ssp585,33.43,-0.22,30.61,75.97,0.009,0.9,2.63
MAHARASHTRA,PALGHAR,ssp245,0.26,0.73,0.0,0.0,0.009,0.5,2.63
MAHARASHTRA,PALGHAR,ssp585,39.13,0.73,35.34,88.34,0.009,0.9,2.63
MAHARASHTRA,PARBHANI,ssp245,-12.98,0.34,-37.43,0.0,0.008,0.5,2.57
MAHARASHTRA,PARBHANI,ssp585,18.7,0.34,-9.89,73.47,0.008,0.9,2.57
MAHARASHTRA,PUNE,ssp245,0.4,0.84,0.31,0.0,0.009,0.5,2.58
MAHARASHTRA,PUNE,ssp585,44.4,0.84,40.31,100.0,0.009,0.9,2.58
MAHARASHTRA,RAIGAD,ssp245,0.41,1.18,0.0,0.0,0.009,0.5,2.58
MAHARASHTRA,RAIGAD,ssp585,44.41,1.18,40.0,100.0,0.009,0.9,2.58
MAHARASHTRA,RATNAGIRI,ssp245,20.83,0.18,18.88,47.2,0.009,0.5,2.59
MAHARASHTRA,RATNAGIRI,ssp585,44.06,0.18,40.0,100.0,0.009,0.9,2.59
MAHARASHTRA,SANGLI,ssp245,6.5,1.43,3.41,16.0,0.009,0.5,2.59
MAHARASHTRA,SANGLI,ssp585,43.4,1.43,36.86,100.0,0.009,0.9,2.59
MAHARASHTRA,SATARA,ssp245,0.82,2.18,0.15,0.0,0.009,0.5,2.59
MAHARASHTRA,SATARA,ssp585,44.82,2.18,40.15,100.0,0.009,0.9,2.59
MAHARASHTRA,SINDHUDURG,ssp245,20.35,1.2,18.16,45.27,0.009,0.5,2.6
MAHARASHTRA,SINDHUDURG,ssp585,44.44,1.2,40.05,100.0,0.009,0.9,2.6
MAHARASHTRA,SOLAPUR,ssp245,-4.48,0.22,-38.29,29.47,0.009,0.5,2.58
MAHARASHTRA,SOLAPUR,ssp585,23.1,0.22,-13.22,92.15,0.009,0.9,2.58
MAHARASHTRA,THANE,ssp245,0.37,0.75,0.31,0.0,0.009,0.5,2.6
MAHARASHTRA,THANE,ssp585,31.3,0.75,28.43,70.3,0.009,0.9,2.6
MAHARASHTRA,WARDHA,ssp245,0.27,0.82,-0.05,0.0,0.009,0.5,2.65
MAHARASHTRA,WARDHA,ssp585,27.63,0.82,24.82,62.18,0.009,0.9,2.65
MAHARASHTRA,WASHIM,ssp245,-0.1,0.35,-0.63,0.0,0.008,0.5,2.58
MAHARASHTRA,WASHIM,ssp585,8.27,0.35,6.99,19.03,0.008,0.9,2.58
MAHARASHTRA,YAVATMAL,ssp245,-10.68,0.47,-30.99,0.0,0.009,0.5,2.66
MAHARASHTRA,YAVATMAL,ssp585,13.27,0.47,-10.26,55.65,0.009,0.9,2.66
TELANGANA,ADILABAD,ssp245,-17.09,1.43,-50.25,0.0,0.009,0.5,2.7
TELANGANA,ADILABAD,ssp585,26.91,1.43,-10.25,100.0,0.009,0.9,2.7
TELANGANA,BHADRADRI KOTHAGUDEM,ssp245,2.45,1.2,1.84,4.61,0.009,0.5,2.53
TELANGANA,BHADRADRI KOTHAGUDEM,ssp585,44.42,1.2,40.0,100.0,0.009,0.9,2.53
TELANGANA,HANUMAKONDA,ssp245,0.31,0.99,-0.1,0.0,0.009,,2.65
TELANGANA,HANUMAKONDA,ssp585,0.31,0.99,-0.1,0.0,0.009,,2.65
TELANGANA,HYDERABAD,ssp245,-11.03,1.64,-44.63,13.39,0.009,,2.6
TELANGANA,HYDERABAD,ssp585,-5.28,1.64,-39.41,26.45,0.009,,2.6
TELANGANA,JAGTIAL,ssp245,0.23,0.83,-0.17,0.0,0.009,,2.7
TELANGANA,JAGTIAL,ssp585,0.23,0.83,-0.17,0.0,0.009,,2.7
TELANGANA,JANGAON,ssp245,0.3,1.05,-0.21,0.0,0.008,0.5,2.67
TELANGANA,JANGAON,ssp585,0.3,1.05,-0.21,0.0,0.008,0.9,2.67
TELANGANA,JAYASHANKAR BHUPALPALLI,ssp245,0.23,0.68,-0.04,0.0,0.009,,2.59
TELANGANA,JAYASHANKAR BHUPALPALLI,ssp585,44.23,0.68,39.96,100.0,0.009,,2.59
TELANGANA,JOGULAMBA GADWAL,ssp245,4.1,-0.06,-5.86,20.57,0.008,,2.45
TELANGANA,JOGULAMBA GADWAL,ssp585,33.06,-0.06,19.99,86.93,0.008,,2.45
TELANGANA,KAMAREDDY,ssp245,-17.01,1.49,-50.09,0.0,0.009,0.5,2.74
TELANGANA,KAMAREDDY,ssp585,-17.01,1.49,-50.09,0.0,0.009,0.9,2.74
TELANGANA,KARIMNAGAR,ssp245,0.31,1.17,-0.29,0.0,0.008,0.5,2.68
TELANGANA,KARIMNAGAR,ssp585,0.31,1.17,-0.29,0.0,0.008,0.9,2.68
TELANGANA,KHAMMAM,ssp245,0.37,1.22,-0.17,0.0,0.009,0.5,2.59
TELANGANA,KHAMMAM,ssp585,44.37,1.22,39.83,100.0,0.009,0.9,2.59
TELANGANA,KUMURAM BHEEM,ssp245,0.27,1.0,-0.23,0.0,0.009,0.5,2.61
TELANGANA,KUMURAM BHEEM,ssp585,44.27,1.0,39.77,100.0,0.009,0.9,2.61
TELANGANA,MAHABUBABAD,ssp245,0.27,0.96,-0.18,0.0,0.009,,2.61
TELANGANA,MAHABUBABAD,ssp585,7.85,0.96,6.71,17.23,0.009,,2.61
TELANGANA,MAHBUBNAGAR,ssp245,-17.53,0.1,-50.18,0.0,0.008,,2.5
TELANGANA,MAHBUBNAGAR,ssp585,-9.07,0.1,-42.49,19.22,0.008,,2.5
TELANGANA,MANCHERIAL,ssp245,0.08,0.52,-0.28,0.0,0.009,,2.61
TELANGANA,MANCHERIAL,ssp585,44.08,0.52,39.72,100.0,0.009,,2.61
TELANGANA,MEDAK,ssp245,-16.88,1.86,-50.1,0.0,0.008,,2.69
TELANGANA,MEDAK,ssp585,-16.88,1.86,-50.1,0.0,0.008,,2.69
TELANGANA,MEDCHAL-MALKAJGIRI,ssp245,-16.9,1.86,-50.14,0.0,0.009,0.5,2.64
TELANGANA,MEDCHAL-MALKAJGIRI,ssp585,-7.42,1.86,-41.53,21.54,0.009,0.9,2.64
TELANGANA,MULUGU,ssp245,0.31,0.99,-0.11,0.0,0.009,0.5,2.56
TELANGANA,MULUGU,ssp585,44.31,0.99,39.89,100.0,0.009,0.9,2.56
TELANGANA,NAGARKURNOOL,ssp245,11.8,-0.02,10.65,26.94,0.008,0.5,2.5
TELANGANA,NAGARKURNOOL,ssp585,26.65,-0.02,24.15,60.69,0.008,0.9,2.5
TELANGANA,NALGONDA,ssp245,0.19,0.83,-0.28,0.0,0.008,0.5,2.6
TELANGANA,NALGONDA,ssp585,13.84,0.83,12.13,31.01,0.008,0.9,2.6
TELANGANA,NARAYANPET,ssp245,-17.39,0.54,-50.23,0.0,0.008,0.5,2.52
TELANGANA,NARAYANPET,ssp585,26.61,0.54,-10.23,100.0,0.008,0.9,2.52
TELANGANA,NIRMAL,ssp245,-17.22,1.19,-50.4,0.0,0.009,,2.74
TELANGANA,NIRMAL,ssp585,-17.22,1.19,-50.4,0.0,0.009,,2.74
TELANGANA,NIZAMABAD,ssp245,-10.4,1.08,-30.77,0.0,0.009,0.5,2.76
TELANGANA,NIZAMABAD,ssp585,-10.93,1.08,-32.3,0.0,0.009,0.9,2.76
TELANGANA,PEDDAPALLI,ssp245,0.17,0.78,-0.31,0.0,0.009,0.5,2.64
TELANGANA,PEDDAPALLI,ssp585,0.17,0.78,-0.31,0.0,0.009,0.9,2.64
TELANGANA,RAJANNA SIRCILLA,ssp245,0.32,0.9,0.0,0.0,0.009,,2.74
TELANGANA,RAJANNA SIRCILLA,ssp585,0.32,0.9,0.0,0.0,0.009,,2.74
TELANGANA,RANGA REDDY,ssp245,-12.82,1.41,-38.02,0.0,0.008,0.5,2.56
TELANGANA,RANGA REDDY,ssp585,9.5,1.41,-19.02,52.23,0.008,0.9,2.56
TELANGANA,SANGAREDDY,ssp245,-16.89,1.85,-50.1,0.0,0.009,0.5,2.66
TELANGANA,SANGAREDDY,ssp585,-15.53,1.85,-48.87,3.08,0.009,0.9,2.66
TELANGANA,SIDDIPET,ssp245,0.3,1.07,-0.21,0.0,0.008,,2.68
TELANGANA,SIDDIPET,ssp585,0.3,1.07,-0.21,0.0,0.008,,2.68
TELANGANA,SURYAPET,ssp245,0.2,0.91,-0.34,0.0,0.008,0.5,2.63
TELANGANA,SURYAPET,ssp585,0.2,0.91,-0.34,0.0,0.008,0.9,2.63
TELANGANA,VIKARABAD,ssp245,-9.95,1.48,-43.83,16.27,0.008,0.5,2.57
TELANGANA,VIKARABAD,ssp585,8.59,1.48,-26.98,58.39,0.008,0.9,2.57
TELANGANA,WANAPARTHY,ssp245,-7.66,0.06,-34.18,14.25,0.008,,2.46
TELANGANA,WANAPARTHY,ssp585,24.79,0.06,-6.02,89.57,0.008,,2.46
TELANGANA,WARANGAL,ssp245,0.2,0.78,-0.2,0.0,0.009,,2.63
TELANGANA,WARANGAL,ssp585,1.45,0.78,0.93,2.84,0.009,,2.63
TELANGANA,YADADRI BHUVANAGIRI,ssp245,0.34,1.29,-0.32,0.0,0.008,,2.64
TELANGANA,YADADRI BHUVANAGIRI,ssp585,0.34,1.29,-0.32,0.0,0.008,,2.64
