scenario,year,ag_stress_rank,state,district,scenario,year,overall_risk_score,overall_risk_class,flood_hazard_score,flood_hazard_class,drought_hazard_score,drought_hazard_class,ag_stress_score,ag_stress_class,water_availability_index,temperature_change,rainfall_change
ssp245,2030,14,BIHAR,KAIMUR (BHABUA),ssp245,2030,9.93,Low Risk,25.77,Moderate,2.59,Low,0.0,Low,0.9886,,-0.59
ssp245,2030,15,BIHAR,KATIHAR,ssp245,2030,10.46,Low Risk,27.88,Moderate,2.01,Low,0.0,Low,1.0152,0.5568997244040297,3.04
ssp245,2030,16,BIHAR,KHAGARIA,ssp245,2030,11.0,Low Risk,28.01,Moderate,3.43,Low,0.0,Low,1.0345,0.4667446527216263,5.53
ssp245,2030,17,BIHAR,KISHANGANJ,ssp245,2030,39.24,Moderate Risk,60.49,High,51.63,High,0.0,Low,1.0251,,5.25
ssp245,2030,18,BIHAR,LAKHISARAI,ssp245,2030,8.61,Low Risk,23.19,Low,1.4,Low,0.0,Low,1.0401,,5.59
ssp245,2030,19,BIHAR,MADHEPURA,ssp245,2030,18.13,Low Risk,25.12,Moderate,26.69,Moderate,0.0,Low,1.0258,,5.11
ssp245,2030,20,BIHAR,MADHUBANI,ssp245,2030,12.94,Low Risk,32.73,Moderate,4.23,Low,0.0,Low,1.0357,0.3954428944322856,6.52
ssp245,2040,1,MAHARASHTRA,SINDHUDURG,ssp245,2040,84.36,Very High Risk,99.42,Very High,87.61,Very High,63.0,High,1.0433,0.810854793919475,8.08
ssp245,2040,2,MAHARASHTRA,RATNAGIRI,ssp245,2040,83.82,Very High Risk,100.0,Very High,88.09,Very High,59.97,High,1.0414,0.8278515418370596,7.74
ssp245,2040,3,MAHARASHTRA,SANGLI,ssp245,2040,32.77,Moderate Risk,18.47,Low,29.64,Moderate,53.12,High,1.0451,0.7843440453211592,7.6
ssp245,2040,4,MAHARASHTRA,KOLHAPUR,ssp245,2040,49.86,Moderate Risk,65.47,High,32.86,Moderate,51.47,High,1.0438,0.7825651446978341,7.88
ssp245,2040,5,TELANGANA,JOGULAMBA GADWAL,ssp245,2040,22.26,Low Risk,0.04,Low,24.61,Low,45.45,Moderate,1.0088,,2.17
ssp245,2040,6,MAHARASHTRA,SOLAPUR,ssp245,2040,22.68,Low Risk,3.29,Low,23.96,Low,43.82,Moderate,1.0459,0.7139089087645303,7.33
ssp245,2040,7,TELANGANA,BHADRADRI KOTHAGUDEM,ssp245,2040,28.2,Moderate Risk,22.28,Low,22.02,Low,42.33,Moderate,1.0282,0.7507238268852348,5.44
ssp245,2040,8,BIHAR,SAHARSA,ssp245,2040,34.16,Moderate Risk,28.62,Moderate,34.21,Moderate,40.57,Moderate,1.0374,,8.34
ssp245,2040,9,BIHAR,BANKA,ssp245,2040,27.59,Moderate Risk,25.47,Moderate,21.26,Low,37.46,Moderate,1.0185,,5.54
ssp245,2040,10,BIHAR,JAMUI,ssp245,2040,25.53,Moderate Risk,23.75,Low,18.06,Low,36.32,Moderate,1.0237,0.9589224470986224,6.0
ssp245,2040,11,BIHAR,KISHANGANJ,ssp245,2040,55.79,High Risk,62.47,High,67.58,High,34.25,Moderate,1.0344,,7.84
ssp245,2040,12,BIHAR,DARBHANGA,ssp245,2040,26.41,Moderate Risk,27.26,Moderate,20.08,Low,32.79,Moderate,1.0431,,8.69
ssp245,2040,13,BIHAR,MADHUBANI,ssp245,2040,28.69,Moderate Risk,34.63,Moderate,19.62,Low,32.33,Moderate,1.0452,0.8954428944322856,9.15
ssp245,2040,14,BIHAR,MADHEPURA,ssp245,2040,30.15,Moderate Risk,25.6,Moderate,33.42,Moderate,31.63,Moderate,1.0351,,7.69
ssp245,2040,15,TELANGANA,KHAMMAM,ssp245,2040,15.21,Low Risk,11.93,Low,11.14,Low,23.79,Low,1.0498,0.7507238268852348,7.69
ssp245,2040,16,MAHARASHTRA,BEED,ssp245,2040,13.28,Low Risk,6.64,Low,13.12,Low,21.22,Low,1.0412,,6.21
ssp245,2040,17,MAHARASHTRA,DHARASHIV,ssp245,2040,12.41,Low Risk,5.57,Low,12.47,Low,20.33,Low,1.0567,0.6848686118920853,8.34
ssp245,2040,18,MAHARASHTRA,SATARA,ssp245,2040,27.07,Moderate Risk,46.66,Moderate,15.56,Low,17.63,Low,1.0441,0.8314131809605563,7.73
ssp245,2040,19,MAHARASHTRA,RAIGAD,ssp245,2040,62.16,High Risk,98.92,Very High,66.6,High,14.1,Low,1.041,0.8352134870158459,7.24
ssp245,2040,20,TELANGANA,NAGARKURNOOL,ssp245,2040,8.1,Low Risk,3.18,Low,8.66,Low,13.17,Low,1.0322,0.7470164775848502,3.79
ssp585,2030,1,MAHARASHTRA,SINDHUDURG,ssp585,2030,81.37,Very High Risk,98.22,Very High,84.99,Very High,57.48,High,1.0341,0.6108547939194751,5.48
ssp585,2030,2,MAHARASHTRA,RATNAGIRI,ssp585,2030,81.23,Very High Risk,99.82,Very High,85.53,Very High,54.51,High,1.0323,0.6278515418370596,5.15
ssp585,2030,3,TELANGANA,JOGULAMBA GADWAL,ssp585,2030,25.67,Moderate Risk,0.1,Low,28.15,Moderate,52.62,High,1.0009,,-0.28
ssp585,2030,4,BIHAR,SAHARSA,ssp585,2030,39.88,Moderate Risk,27.91,Moderate,45.99,Moderate,46.7,Moderate,1.0279,,5.74
ssp585,2030,5,MAHARASHTRA,KOLHAPUR,ssp585,2030,49.9,Moderate Risk,63.32,High,41.27,Moderate,44.3,Moderate,1.0347,0.5825651446978342,5.28
ssp585,2030,6,BIHAR,MADHUBANI,ssp585,2030,33.1,Moderate Risk,32.73,Moderate,24.59,Low,43.46,Moderate,1.0357,0.6954428944322857,6.52
ssp585,2030,7,MAHARASHTRA,SANGLI,ssp585,2030,25.1,Moderate Risk,17.04,Low,22.35,Low,37.7,Moderate,1.0362,0.5843440453211592,5.01
ssp585,2030,8,BIHAR,BANKA,ssp585,2030,26.51,Moderate Risk,24.42,Low,20.31,Low,36.18,Moderate,1.0096,,3.0
ssp585,2030,9,BIHAR,KISHANGANJ,ssp585,2030,55.65,High Risk,60.49,High,68.19,High,35.36,Moderate,1.0251,,5.25
ssp585,2030,10,TELANGANA,BHADRADRI KOTHAGUDEM,ssp585,2030,24.45,Low Risk,21.08,Low,18.66,Low,35.12,Moderate,1.0196,0.5507238268852348,2.91
ssp585,2030,11,BIHAR,JAMUI,ssp585,2030,22.75,Low Risk,22.72,Low,15.69,Low,31.03,Moderate,1.0147,0.7589224470986224,3.45
ssp585,2030,12,TELANGANA,NAGARKURNOOL,ssp585,2030,15.76,Low Risk,3.2,Low,16.47,Low,29.58,Moderate,1.0244,0.5470164775848503,1.29
ssp585,2030,13,BIHAR,MADHEPURA,ssp585,2030,31.58,Moderate Risk,25.12,Moderate,41.06,Moderate,28.05,Moderate,1.0258,,5.11
ssp585,2030,14,MAHARASHTRA,RAIGAD,ssp585,2030,66.49,High Risk,97.74,Very High,71.39,High,24.31,Low,1.0321,0.6352134870158459,4.66
ssp585,2030,15,MAHARASHTRA,SOLAPUR,ssp585,2030,13.05,Low Risk,3.07,Low,14.36,Low,23.18,Low,1.0372,0.5139089087645303,4.75
ssp585,2030,16,MAHARASHTRA,DHARASHIV,ssp585,2030,12.88,Low Risk,4.41,Low,13.46,Low,22.08,Low,1.0479,0.4848686118920852,5.74
ssp585,2030,17,MAHARASHTRA,SATARA,ssp585,2030,27.17,Moderate Risk,44.48,Moderate,16.34,Low,19.6,Low,1.0351,0.6314131809605563,5.14
ssp585,2030,18,MAHARASHTRA,THANE,ssp585,2030,45.98,Moderate Risk,96.43,Very High,18.61,Low,19.04,Low,1.0424,0.600989811287991,5.82
ssp585,2030,19,MAHARASHTRA,PALGHAR,ssp585,2030,53.55,High Risk,99.27,Very High,38.11,Moderate,18.22,Low,1.0478,0.600989811287991,6.74
ssp585,2030,20,MAHARASHTRA,DHULE,ssp585,2030,19.16,Low Risk,24.81,Low,14.74,Low,17.72,Low,1.0536,0.5052773813406717,6.87
ssp585,2040,1,BIHAR,BANKA,ssp585,2040,54.21,High Risk,25.47,Moderate,43.71,Moderate,100.0,Severe,1.0185,,5.54
ssp585,2040,2,BIHAR,SAHARSA,ssp585,2040,59.81,High Risk,28.62,Moderate,56.54,High,100.0,Severe,1.0374,,8.34
ssp585,2040,3,BIHAR,KISHANGANJ,ssp585,2040,83.9,Very High Risk,62.47,High,91.54,Very High,100.0,Severe,1.0344,,7.84
ssp585,2040,4,TELANGANA,BHADRADRI KOTHAGUDEM,ssp585,2040,52.57,High Risk,22.28,Low,42.2,Moderate,100.0,Severe,1.0282,1.4507238268852347,5.44
ssp585,2040,5,TELANGANA,JOGULAMBA GADWAL,ssp585,2040,45.18,Moderate Risk,0.04,Low,43.32,Moderate,100.0,Severe,1.0088,,2.17
ssp585,2040,6,TELANGANA,KUMURAM BHEEM,ssp585,2040,60.28,High Risk,44.31,Moderate,42.2,Moderate,100.0,Severe,1.0531,1.4445556435320277,8.63
ssp585,2040,7,TELANGANA,MULUGU,ssp585,2040,55.96,High Risk,34.16,Moderate,40.0,Moderate,100.0,Severe,1.0334,1.4426913128958858,6.29
ssp585,2040,8,MAHARASHTRA,RATNAGIRI,ssp585,2040,100.0,Very High Risk,100.0,Very High,100.0,Very High,100.0,Severe,1.0414,1.5278515418370595,7.74
ssp585,2040,9,MAHARASHTRA,SINDHUDURG,ssp585,2040,99.14,Very High Risk,99.42,Very High,98.11,Very High,100.0,Severe,1.0433,1.510854793919475,8.08
ssp585,2040,10,MAHARASHTRA,KOLHAPUR,ssp585,2040,70.11,High Risk,65.47,High,49.12,Moderate,100.0,Severe,1.0438,1.482565144697834,7.88
ssp585,2040,11,MAHARASHTRA,GADCHIROLI,ssp585,2040,58.08,High Risk,39.44,Moderate,40.8,Moderate,100.0,Severe,1.0271,1.5022818942864835,5.47
ssp585,2040,12,TELANGANA,NAGARKURNOOL,ssp585,2040,45.98,Moderate Risk,3.18,Low,42.49,Moderate,100.0,Severe,1.0322,1.4470164775848502,3.79
ssp585,2040,13,TELANGANA,NARAYANPET,ssp585,2040,45.98,Moderate Risk,1.52,Low,44.14,Moderate,100.0,Severe,1.0339,1.4072093698713573,4.59
ssp585,2040,14,MAHARASHTRA,SANGLI,ssp585,2040,52.1,High Risk,18.47,Low,44.75,Moderate,99.9,Severe,1.0451,1.4843440453211592,7.6
ssp585,2040,15,TELANGANA,RANGA REDDY,ssp585,2040,47.78,Moderate Risk,8.4,Low,42.67,Moderate,99.67,Severe,1.0564,1.4243652125199844,6.76
ssp585,2040,16,MAHARASHTRA,SATARA,ssp585,2040,61.63,High Risk,46.66,Moderate,47.3,Moderate,95.81,Severe,1.0441,1.5314131809605562,7.73
ssp585,2040,17,BIHAR,JAMUI,ssp585,2040,51.3,High Risk,23.75,Low,41.05,Moderate,95.41,Severe,1.0237,1.6589224470986224,6.0
ssp585,2040,18,MAHARASHTRA,RAIGAD,ssp585,2040,98.13,Very High Risk,98.92,Very High,100.0,Very High,95.03,Severe,1.041,1.5352134870158458,7.24
ssp585,2040,19,TELANGANA,VIKARABAD,ssp585,2040,46.54,Moderate Risk,8.97,Low,43.11,Moderate,94.38,Severe,1.0506,1.43414923879837,6.83
ssp585,2040,20,TELANGANA,MEDCHAL-MALKAJGIRI,ssp585,2040,48.56,Moderate Risk,18.51,Low,40.07,Moderate,93.51,Severe,1.0781,1.4243652125199844,9.58
