district,scenario,year,key_insight_1,key_insight_2,key_insight_3
NANDURBAR,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
NASHIK,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
PALGHAR,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
PARBHANI,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.4%.
PUNE,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.8%.
RAIGAD,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.7%.
RATNAGIRI,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
SANGLI,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
SATARA,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
SINDHUDURG,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
SOLAPUR,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.8%.
THANE,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
WARDHA,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
WASHIM,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.8%.
YAVATMAL,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
ADILABAD,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
BHADRADRI KOTHAGUDEM,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 2.9%.
HANUMAKONDA,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.8%.
HYDERABAD,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.5%.
JAGTIAL,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 9.7%.
JANGAON,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
JAYASHANKAR BHUPALPALLI,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.1%.
JOGULAMBA GADWAL,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a decline of 0.3%.,Overall risk class is Low Risk.
KAMAREDDY,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
KARIMNAGAR,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
KHAMMAM,ssp245,2030,Temperature projected to increase by 0.3C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
KUMURAM BHEEM,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
MAHABUBABAD,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.2%.
MAHBUBNAGAR,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a increase of 1.9%.,Overall risk class is Low Risk.
MANCHERIAL,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.1%.
MEDAK,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 9.4%.
MEDCHAL-MALKAJGIRI,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
MULUGU,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.7%.
NAGARKURNOOL,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 1.3%.
NALGONDA,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
NARAYANPET,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 2.1%.
NIRMAL,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 11.1%.
NIZAMABAD,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
PEDDAPALLI,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
RAJANNA SIRCILLA,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 11.2%.
RANGA REDDY,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.2%.
SANGAREDDY,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
SIDDIPET,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 8.8%.
SURYAPET,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
VIKARABAD,ssp245,2030,Temperature projected to increase by 0.2C by 2030.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.3%.
WANAPARTHY,ssp245,2030,Agricultural stress remains Low.,Rainfall change indicates a decline of 0.1%.,Overall risk class is Low Risk.
WARANGAL,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.8%.
YADADRI BHUVANAGIRI,ssp245,2030,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.4%.
ARARIA,ssp245,2035,Temperature projected to increase by 0.8C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
ARWAL,ssp245,2035,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.1%.,Overall risk class is Low Risk.
AURANGABAD,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Rainfall change indicates a increase of 1.6%.
BANKA,ssp245,2035,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.3%.,Overall risk class is Low Risk.
BEGUSARAI,ssp245,2035,Temperature projected to increase by 0.7C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
BHAGALPUR,ssp245,2035,Temperature projected to increase by 0.8C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
BHOJPUR,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Rainfall change indicates a increase of 2.8%.
BUXAR,ssp245,2035,Agricultural stress remains Low.,Rainfall change indicates a increase of 1.6%.,Overall risk class is Low Risk.
DARBHANGA,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.4%.
GAYA,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.1%.
GOPALGANJ,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Rainfall change indicates a increase of 2.9%.
JAMUI,ssp245,2035,Temperature projected to increase by 0.7C by 2035.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.7%.
JEHANABAD,ssp245,2035,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.4%.,Overall risk class is Low Risk.
KAIMUR (BHABUA),ssp245,2035,Agricultural stress remains Low.,Rainfall change indicates a increase of 0.6%.,Overall risk class is Low Risk.
KATIHAR,ssp245,2035,Temperature projected to increase by 0.8C by 2035.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.3%.
KHAGARIA,ssp245,2035,Temperature projected to increase by 0.7C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
KISHANGANJ,ssp245,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.5%.
LAKHISARAI,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.9%.
MADHEPURA,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.4%.
MADHUBANI,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
MUNGER,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.2%.
MUZAFFARPUR,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.9%.
NALANDA,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.6%.
NAWADA,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.1%.
PASHCHIM CHAMPARAN,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.6%.
PATNA,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
PURBA CHAMPARAN,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.3%.
PURNIA,ssp245,2035,Temperature projected to increase by 0.8C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
ROHTAS,ssp245,2035,Agricultural stress remains Low.,Rainfall change indicates a increase of 1.1%.,Overall risk class is Low Risk.
SAHARSA,ssp245,2035,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.0%.
SAMASTIPUR,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.2%.
SARAN,ssp245,2035,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.9%.,Overall risk class is Low Risk.
SHEIKHPURA,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.1%.
SHEOHAR,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.4%.
SITAMARHI,ssp245,2035,Temperature projected to increase by 0.7C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
SIWAN,ssp245,2035,Agricultural stress remains Low.,Rainfall change indicates a increase of 2.6%.,Overall risk class is Moderate Risk.
SUPAUL,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
VAISHALI,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
AHILYANAGAR,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
AKOLA,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
AMRAVATI,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
BEED,ssp245,2035,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.9%.,Overall risk class is Low Risk.
BHANDARA,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
BULDHANA,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
CHANDRAPUR,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
CHHATRAPATI SAMBHAJI NAGAR,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.3%.
DHARASHIV,ssp245,2035,Temperature projected to increase by 0.4C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
DHULE,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
GADCHIROLI,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Rainfall change indicates a increase of 4.2%.
GONDIA,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
HINGOLI,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.8%.
JALGAON,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
JALNA,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.7%.
KOLHAPUR,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
LATUR,ssp245,2035,Temperature projected to increase by 0.4C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
MUMBAI,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 5.6%.
MUMBAI SUBURBAN,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.2%.
NAGPUR,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
NANDED,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
NANDURBAR,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
NASHIK,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
PALGHAR,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
PARBHANI,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
PUNE,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
RAIGAD,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
RATNAGIRI,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SANGLI,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SATARA,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
SINDHUDURG,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress is projected to rise sharply.,Extreme rainfall events are projected to increase.
SOLAPUR,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
THANE,ssp245,2035,Temperature projected to increase by 0.6C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
WARDHA,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
WASHIM,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
YAVATMAL,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
ADILABAD,ssp245,2035,Temperature projected to increase by 0.4C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
BHADRADRI KOTHAGUDEM,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress is projected to rise sharply.,Rainfall change indicates a increase of 4.2%.
HANUMAKONDA,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 9.2%.
HYDERABAD,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.8%.
JAGTIAL,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 11.1%.
JANGAON,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
JAYASHANKAR BHUPALPALLI,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 6.4%.
JOGULAMBA GADWAL,ssp245,2035,Agricultural stress remains Low.,Rainfall change indicates a increase of 0.9%.,Overall risk class is Low Risk.
KAMAREDDY,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
KARIMNAGAR,ssp245,2035,Temperature projected to increase by 0.4C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
KHAMMAM,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
KUMURAM BHEEM,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
MAHABUBABAD,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.5%.
MAHBUBNAGAR,ssp245,2035,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.1%.,Overall risk class is Low Risk.
MANCHERIAL,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 7.4%.
MEDAK,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 10.7%.
MEDCHAL-MALKAJGIRI,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
MULUGU,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
NAGARKURNOOL,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Rainfall change indicates a increase of 2.5%.
NALGONDA,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
NARAYANPET,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Rainfall change indicates a increase of 3.3%.
NIRMAL,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 12.5%.
NIZAMABAD,ssp245,2035,Temperature projected to increase by 0.5C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
PEDDAPALLI,ssp245,2035,Temperature projected to increase by 0.4C by 2035.,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.
RAJANNA SIRCILLA,ssp245,2035,Agricultural stress remains Low.,Extreme rainfall events are projected to increase.,Rainfall change indicates a increase of 12.6%.
